estrategia,ticker,data_sinal,data_entrada,data_saida,dias,entrada,saida,pnl_pct,ret_bova,ret_rel,motivo,score_entrada,score_saida,evolucao_score,B,mrs,vol_ratio,contracao
B,ALOS3,2023-06-01,2023-06-02,2023-06-19,10,19.49,20.20,3.61,6.52,-2.91,time_stop,8,6,-2,2,22.90,2.39,0.42
B,ALOS3,2023-12-13,2023-12-14,2024-01-02,10,22.54,22.11,-1.90,1.48,-3.39,time_stop,7,6,-1,2,4.96,2.02,0.85
B,ALOS3,2025-11-13,2025-11-14,2025-12-01,10,27.22,27.55,1.25,0.75,0.49,time_stop,7,6,-1,2,13.43,3.82,0.59
B,ALOS3,2026-01-22,2026-01-23,2026-01-28,3,29.19,30.65,5.00,3.24,1.76,take_profit_ret,6,5,-1,2,3.43,2.02,0.66
B,ABEV3,2022-07-28,2022-07-29,2022-08-12,10,11.39,11.45,0.53,9.41,-8.88,time_stop,7,5,-2,2,7.03,2.45,0.58
B,ABEV3,2023-03-28,2023-03-29,2023-04-13,10,11.61,11.56,-0.48,4.44,-4.92,time_stop,7,4,-3,2,9.65,3.67,0.67
B,ABEV3,2023-12-13,2023-12-14,2024-01-02,10,11.76,11.43,-2.85,1.48,-4.33,time_stop,5,5,0,2,-8.90,2.18,0.50
B,ABEV3,2024-10-01,2024-10-02,2024-10-09,5,11.42,10.80,-5.47,-2.70,-2.78,stop_loss,7,4,-3,2,5.59,2.30,0.97
B,ABEV3,2024-12-02,2024-12-03,2024-12-04,1,11.05,11.60,5.00,0.06,4.94,take_profit_ret,7,7,0,2,9.84,2.62,1.00
B,ABEV3,2025-02-26,2025-02-27,2025-03-05,2,10.26,10.78,5.00,-1.40,6.40,take_profit_ret,6,6,0,2,2.11,2.56,0.84
B,ANIM3,2022-10-04,2022-10-05,2022-10-17,7,5.42,5.19,-4.30,-3.02,-1.28,stop_loss,5,5,0,2,-2.74,2.12,0.59
B,ANIM3,2022-10-31,2022-11-01,2022-11-04,2,5.95,6.24,5.00,1.05,3.95,take_profit_ret,7,6,-1,2,10.11,4.13,0.91
B,ANIM3,2024-03-01,2024-03-04,2024-03-07,3,4.55,4.33,-4.74,0.14,-4.88,stop_loss,7,6,-1,2,28.43,2.06,0.60
B,ANIM3,2025-05-09,2025-05-12,2025-05-19,5,4.15,4.36,5.00,2.27,2.73,take_profit_ret,6,6,0,2,60.58,2.10,0.51
B,ANIM3,2026-01-07,2026-01-08,2026-01-20,8,4.03,3.72,-7.69,2.08,-9.77,stop_loss,6,6,0,2,0.60,3.41,0.99
B,ANIM3,2026-01-22,2026-01-23,2026-01-27,2,4.95,5.20,5.00,1.44,3.56,take_profit_ret,6,5,-1,2,12.19,2.54,0.74
B,ASAI3,2022-07-27,2022-07-28,2022-08-01,2,15.92,14.96,-5.99,-0.54,-5.45,stop_loss,7,6,-1,2,19.73,3.42,0.51
B,ASAI3,2025-05-27,2025-05-28,2025-06-11,10,11.20,11.07,-1.15,-1.28,0.14,time_stop,6,5,-1,2,38.88,2.20,0.74
B,AURE3,2025-07-23,2025-07-24,2025-07-30,4,9.68,12.42,28.27,0.11,28.16,stop_loss,6,3,-3,2,3.51,2.05,0.77
B,AURE3,2026-01-22,2026-01-23,2026-01-30,5,11.92,7.73,-35.17,1.42,-36.59,stop_loss,6,2,-4,2,-6.01,2.02,1.00
B,AXIA3,2022-04-07,2022-04-08,2022-04-13,3,35.03,36.78,5.00,-1.28,6.28,take_profit_ret,7,5,-2,2,5.76,2.18,0.56
B,AXIA3,2022-10-21,2022-10-24,2022-10-27,3,42.33,40.42,-4.50,-1.91,-2.60,stop_loss,8,8,0,2,8.28,4.16,0.62
B,AXIA3,2023-11-07,2023-11-08,2023-11-16,5,33.45,35.12,5.00,4.71,0.29,take_profit_ret,5,6,1,2,-1.48,2.02,0.87
B,AXIA3,2024-07-31,2024-08-01,2024-08-06,3,35.45,33.50,-5.50,-0.81,-4.69,stop_loss,5,1,-4,2,-0.24,2.03,0.94
B,AXIA3,2025-08-07,2025-08-08,2025-08-11,1,39.86,41.85,5.00,-0.31,5.31,take_profit_ret,8,8,0,2,7.43,4.36,0.97
B,AXIA3,2025-10-17,2025-10-20,2025-11-03,10,52.95,54.51,2.95,4.32,-1.37,time_stop,7,7,0,2,27.37,2.90,0.62
B,AXIA3,2026-01-21,2026-01-22,2026-02-03,8,53.60,56.28,5.00,5.47,-0.47,take_profit_ret,6,3,-3,2,-3.71,2.53,0.16
B,AXIA6,2022-04-07,2022-04-08,2022-04-13,3,24.63,25.86,5.00,-1.28,6.28,take_profit_ret,6,5,-1,2,3.87,2.14,0.51
B,AXIA6,2022-04-13,2022-04-14,2022-04-20,3,26.40,24.74,-6.28,-1.43,-4.84,stop_loss,8,6,-2,2,13.25,2.32,0.41
B,AXIA6,2022-08-04,2022-08-05,2022-08-19,10,32.54,32.23,-0.95,4.66,-5.61,time_stop,8,5,-3,2,38.01,2.39,0.49
B,AXIA6,2022-10-31,2022-11-01,2022-11-11,7,34.48,31.21,-9.51,-3.78,-5.73,stop_loss,7,7,0,2,20.55,2.22,0.61
B,AXIA6,2024-02-20,2024-02-21,2024-03-06,10,32.71,32.40,-0.96,-0.82,-0.15,time_stop,8,8,0,2,6.68,2.06,0.62
B,AXIA6,2024-07-31,2024-08-01,2024-08-06,3,30.78,29.61,-3.80,-0.81,-2.99,stop_loss,6,4,-2,2,1.13,2.07,0.98
B,AXIA6,2025-08-07,2025-08-08,2025-08-11,1,33.92,35.61,5.00,-0.31,5.31,take_profit_ret,7,8,1,2,3.98,7.15,1.00
B,AXIA6,2025-09-17,2025-09-18,2025-09-29,7,39.65,41.64,5.00,0.65,4.35,take_profit_ret,8,7,-1,2,11.57,2.73,0.53
B,AXIA6,2025-10-31,2025-11-03,2025-11-10,5,45.62,47.90,5.00,3.31,1.69,take_profit_ret,8,7,-1,2,19.49,2.59,0.40
